Hospital Name,City,State,Medicare #,Website
Abbeville Area Medical Center,Abbeville,SC,421301,http://www.abbevilleareamc.com
Abbeville General Hospital,Abbeville,LA,190034,http://www.abbgen.net
Abbott Northwestern Hospital,Minneapolis,MN,240057,http://www.abbottnorthwestern.com
Abilene Regional Medical Center,Abilene,TX,450558,http://www.abileneregional.com
Abington Hospital,Abington,PA,390231,http://www.abingtonhealth.org
Abington-Lansdale Hospital Jefferson Health,Lansdale,PA,390012,http://www.abingtonhealth.org/find-a-location/abington-lansdale-hospital/#.V5dyVVL9yk4
Abraham Lincoln Memorial Hospital,Lincoln,IL,141322,http://www.almh.org
Abrazo Arrowhead Campus,Glendale,AZ,030094,http://www.arrowheadhospital.com
Abrazo Central Campus,Phoenix,AZ,030030,http://www.abrazohealth.com
Abrazo Maryvale Campus,Phoenix,AZ,030001,http://www.maryvalehospital.com
Abrazo Scottsdale Campus,Phoenix,AZ,030083,http://www.abrazoscottsdale.com
Abrazo West Campus,Goodyear,AZ,030110,http://www.wvhospital.com
Abrom Kaplan Memorial Hospital,Kaplan,LA,191322,http://www.lafayettegeneral.com
Acadia General Hospital,Crowley,LA,190044,http://www.acadiageneral.com
Acadia Hospital,Bangor,ME,204006,http://www.acadiahospital.org
Acadia Optima Hospital,Lafayette,LA,194078,http://optimaspecialtyhospital.com/
Acadia Vermilion Hospital,Lafayette,LA,194044,http://www.acadiavermilion.com
Acadia-St. Landry Hospital,Church Point,LA,191319,http://www.aslh.org
Accel Rehabilitation Hospital of Plano,Plano,TX,673055,http://accelrehab.com
Access Hospital Dayton,Dayton,OH,364050,http://www.accesshospital.com/
ACMH Hospital,Kittanning,PA,390163,http://www.acmh.org
Acoma-Canoncito-Laguna Hospital,Acoma,NM,320070,http://www.ihs.gov/albuquerque/index.cfm?module=dsp_abq_acoma_canoncito_laguna
Acuity Hospital of South Texas,San Antonio,TX,452040,http://www.acuitysouthtexas.com
Acuity Specialty Hospital of New Jersey,Atlantic City,NJ,312023,http://www.acuityhealthcare.net
Acuity Specialty Hospital of Southern New Jersey,Willingboro,NJ,312022,http://lourdes.acuityhealthcare.net/
Acuity Specialty Hospitals Ohio Valley,Steubenville,OH,362035,http://www.acuityhealthcare.net
Adair County Health System,Greenfield,IA,161310,http://www.adaircountyhealthsystem.org
Adams County Regional Medical Center,Seaman,OH,361326,http://www.acrmc.com
Adams Memorial Hospital,Decatur,IN,151330,http://www.adamshospital.com
Adcare Hospital of Worcester,Worcester,MA,220062,http://www.adcare.com
Adena Greenfield Medical Center,Greenfield,OH,361304,http://www.adena.org
Adena Medical Center,Chillicothe,OH,360159,http://www.adena.org
Adena Pike Medical Center ,Waverly,OH,361334,http://www.pikecommunityhospital.org
Adirondack Health,Saranac Lake,NY,330079,http://www.adirondackhealth.org
Advanced Care Hospital of Montana,Billings,MT,272001,http://www.achm.ernesthealth.com
Advanced Care Hospital of Southern New Mexico,Las Cruces,NM,322004,http://www.achsnm.ernesthealth.com
Advanced Care Hospital of White County,Searcy,AR,042011,http://www.advancedcarehospital.com
Advanced Specialty Hospital of Toledo,Toledo,OH,362038,http://www.advancedspecialtyhospitals.com
Advanced Surgical Hospital,Washington,PA,390323,http://www.ashospital.net
Adventist Behavioral Health and Wellness Services,Rockville,MD,214013,http://www.adventistbehavioralhealth.com
Adventist Health Medical Center - Tehachapi Valley,Tehachapi,CA,051301,http://www.tvhd.org
Adventist Healthcare Physical Health and Rehabilitation,Rockville,MD,213029,http://www.adventistrehab.com
Adventist Healthcare Shady Grove Medical Center,Rockville,MD,210057,http://www.adventisthealthcare.com
Adventist Healthcare Washington Adventist Hospital,Takoma Park,MD,210016,http://www.adventisthealthcare.com
Adventist La Grange Memorial Hospital,La Grange,IL,140065,http://www.keepingyouwell.com
Adventist Medical Center - Hanford,Hanford,CA,050121,http://www.adventisthealthcv.com/hospital_newhanfordhospital.aspx
Adventist Medical Center-Portland,Portland,OR,380060,http://www.adventisthealthnw.com
Adventist Medical Center-Reedley,Reedley,CA,050192,http://www.skdh.org
Advocate BroMenn Medical Center,Normal,IL,140127,http://www.advocatehealth.com
Advocate Christ Medical Center,Oak Lawn,IL,140208,http://www.advocatehealth.com/christ
Advocate Condell Medical Center,Libertyville,IL,140202,http://www.advocatehealth.com/condell/
Advocate Eureka Hospital,Eureka,IL,141309,http://www.advocatehealth.com/eureka/
Advocate Good Samaritan Hospital,Downers Grove,IL,140288,http://www.advocatehealth.com/gsam
Advocate Good Shepherd Hospital,Barrington,IL,140291,http://www.advocatehealth.com/gshp/
Advocate Illinois Masonic Medical Center,Chicago,IL,140182,http://www.advocatehealth.com/masonic
Advocate Lutheran General Hospital,Park Ridge,IL,140223,http://www.advocatehealth.com/luth/
Advocate Sherman Hospital,Elgin,IL,140030,http://www.advocatehealth.com/sherman
Advocate South Suburban Hospital,Hazel Crest,IL,140250,http://www.advocatehealth.com/ssub/
Advocate Trinity Hospital,Chicago,IL,140048,http://www.advocatehealth.com/trinity
Affinity Medical Center,Massillon,OH,360151,http://www.affinitymedicalcenter.com
AHMC Anaheim Regional Medical Center,Anaheim,CA,050226,http://www.anaheimregionalmc.com
Aiken Regional Medical Centers,Aiken,SC,420082,http://www.aikenregional.com
Akron Children's Hospital,Akron,OH,363303,http://www.akronchildrens.org
Alamance Regional Medical Center,Burlington,NC,340070,http://www.armc.com
Alameda Hospital,Alameda,CA,050211,http://www.alamedahospital.org
Alaska Native Medical Center,Anchorage,AK,020026,http://www.anmc.org
Alaska Psychiatric Institute,Anchorage,AK,024002,http://www.hss.state.ak.us/dbh/API/
Alaska Regional Hospital,Anchorage,AK,020017,http://www.alaskaregional.com
Albany Medical Center,Albany,NY,330013,http://www.amc.edu
Albany Memorial Hospital,Albany,NY,330003,http://www.nehealth.com
Albany Stratton Veterans Affairs Medical Center,Albany,NY,,http://www.albany.va.gov/
Albert J. Solnit Psychiatric Center - South Campus,Middletown,CT,,http://www.ct.gov/
Aleda E. Lutz Veterans Affairs Medical Center,Saginaw,MI,,http://www.saginaw.va.gov/
Alexandria Veterans Affairs Health Care System,Pineville,LA,,http://www.alexandria.va.gov/
Alexian Brothers Behavioral Health Hospital,Hoffman Estates,IL,144031,http://www.abbhh.org
Alfred I. duPont Hospital for Children,Wilmington,DE,083300,http://www.nemours.org
Alhambra Hospital Medical Center,Alhambra,CA,050281,http://www.alhambrahospital.com
Alice Peck Day Memorial Hospital,Lebanon,NH,301305,http://www.alicepeckday.org
Allegan General Hospital,Allegan,MI,231328,http://www.aghosp.org
Alleghany Memorial Hospital,Sparta,NC,341320,http://www.amhsparta.org
Allegheny General Hospital,Pittsburgh,PA,390050,http://www.wpahs.org/locations/allegheny-general-hospital
Allegheny Valley Hospital ,Natrona Heights,PA,390032,http://www.wpahs.org
Allegiance Behavioral Health Center of Plainview,Plainview,TX,454101,http://www.ahmgt.com
Allegiance Health Center of Ruston,Ruston,LA,194087,http://www.ahmgt.com
Allegiance Specialty Hospital of Greenville,Greenville,MS,252013,http://www.ahmgt.com
Allegiance Specialty Hospital of Kilgore,Kilgore,TX,450488,http://www.ahmgt.com
Allen County Regional Hospital,Iola,KS,171373,http://www.allencountyhospital.com
Allen Parish Hospital,Kinder,LA,190133,http://www.allenparishhospital.com
Allendale County Hospital,Fairfax,SC,421300,http://www.achospital.org
Alliance Community Hospital,Alliance,OH,360131,http://www.achosp.org
Alliance Health Center,Meridian,MS,250151,http://www.alliancehealthcenter.com
Alliance HealthCare System,Holly Springs,MS,250012,http://www.alliancehealth.us
AllianceHealth Clinton,Clinton,OK,370029,www.alliancehealthclinton.com
AllianceHealth Deaconess,Oklahoma City,OK,370032,http://www.deaconessokc.com
AllianceHealth Durant,Durant,OK,370014,http://www.alliancehealthdurant.com/
AllianceHealth Madill,Madill,OK,371326,http://www.myalliancehealth.com
AllianceHealth Midwest,Midwest City,OK,370094,http://www.alliancehealthmidwest.com
AllianceHealth Ponca City,Ponca City,OK,370006,http://www.AllianceHealthPoncaCity.com
AllianceHealth Seminole,Seminole,OK,370229,http://www.alliancehealthseminole.com/
AllianceHealth Woodward,Woodward,OK,370002,http://www.woodwardhospital.com
Allied Services Rehabilitation Hospital,Scranton,PA,393030,http://www.allied-services.org
Alta Bates Summit Medical Center,Berkeley,CA,050305,http://www.altabatessummit.org/
Alta Bates Summit Medical Center - Summit Campus,Oakland,CA,050043,http://www.altabatessummit.com
Alta View Hospital,Sandy,UT,460044,http://www.intermountainhealthcare.org
Alta Vista Regional Hospital,Las Vegas,NM,320003,http://www.altavistaregionalhospital.com
Alton Memorial Hospital,Alton,IL,140002,http://www.altonmemorialhospital.org
Altru Health System,Grand Forks,ND,350019,http://www.altru.org
Altus Baytown Hospital,Baytown,TX,670109,http://www.altusbaytownhospital.org
Alvarado Hospital Medical Center,San Diego,CA,050757,http://www.alvaradohospital.com
Alvarado Parkway Institute Behavioral Health System,La Mesa,CA,054075,http://www.apibhs.com
Amarillo Veterans Affairs Health Care System,Amarillo,TX,,http://www.amarillo.va.gov/
American Fork Hospital,American Fork,UT,460023,http://www.intermountainhealthcare.org
Amery Hospital and Clinic,Amery,WI,521308,http://www.amerymedicalcenter.org
AMG Physical Rehabilitation Hospital,Covington,LA,,http://www.amgcovintonprh.com
AMG Specialty Hospital - Las Vegas,Las Vegas,NV,292007,http://amgihm.com/locations/#map_top
AMG Specialty Hospital - Muncie,Muncie,IN,152025,http://www.amgmuncie.com/
AMG Specialty Hospital-Albuquerque,Albuquerque,NM,322003,http://www.amgalbuquerque.com/
AMG Specialty Hospital-Denham Springs,Denham Springs,LA,192008,http://www.amgdenham.com/
AMG Specialty Hospital-Edmond,Edmond,OK,372005,http://www.amgedmond.com/
AMG Specialty Hospital-Greenwood,Greenwood,MS,252010,http://www.amggreenwood.com/
AMG Specialty Hospital-Houma,Houma,LA,192037,http://amghouma.com/
AMG Specialty Hospital-Lafayette,Lafayette,LA,192029,http://amglafayette.com
AMG Specialty Hospital-Tulsa,Tulsa,OK,372011,http://amgoftulsa.com/
AMG Specialty Hospital-Wichita,Wichita,KS,172003,http://www.amgwichita.com/
AMG Specialty Hospital-Zachary,Zachary,LA,,http://amgzachary.com/
AMITA Health Adventist Medical Center - Hinsdale,Hinsdale,IL,140122,www.AMITAhealth.org
AMITA Health Adventist Medical Center Bolingbrook ,Bolingbrook,IL,140304,http://www.keepingyouwell.com/abh/
AMITA Health Elk Grove Village,Elk Grove Village,IL,140258,http://www.AMITAHealth.org
AMITA Health GlenOaks,Glendale Heights,IL,140292,http://www.AMITAHealth.org
AMITA Health Hoffman Estates,Hoffman Estates,IL,140290,http://www.AMITAHealth.org
Anaheim Global Medical Center,Anaheim,CA,050744,http://www.westernmedanaheim.com
Anchor Hospital,Atlanta,GA,114032,http://www.anchorhospital.com
Ancora Psychiatric Hospital,Hammonton,NJ,314005,http://www.state.nj.us/humanservices/dmhs/oshm/aph/
Andalusia Health,Andalusia,AL,010036,http://www.andalusiahealth.com
Anderson County Hospital,Garnett,KS,171316,http://www.saint-lukes.org
Anderson Hospital,Maryville,IL,140289,http://www.andersonhospital.org
Anderson Regional Health System,Meridian,MS,250104,http://www.andersonregional.org
Anderson Regional Health System South,Meridian,MS,250081,http://www.andersonregional.org
Androscoggin Valley Hospital,Berlin,NH,301310,http://www.avhnh.org
Angel Medical Center,Franklin,NC,341326,http://www.angelmed.org
Animas Surgical Hospital,Durango,CO,060117,http://www.animassurgical.com/
AnMed Health Cannon,Pickens,SC,420011,http://www.cannonhospital.org
AnMed Health Medical Center,Anderson,SC,420027,http://www.anmedhealth.org
AnMed Health Rehabilitation Hospital,Anderson,SC,423029,http://www.anmedrehab.com
Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,IL,143300,http://www.luriechildrens.org
Anna Jaques Hospital,Newburyport,MA,220029,http://www.ajh.org
Anne Arundel Medical Center,Annapolis,MD,210023,http://www.aahs.org
Annie Jeffrey Memorial County Health Center,Osceola,NE,281314,http://www.ajhc.org
Anoka-Metropolitan Regional Treatment Center,Anoka,MN,244002,http://www.health.state.mn.us
Antelope Memorial Hospital,Neligh,NE,281326,http://www.amhne.org/
Antelope Valley Hospital,Lancaster,CA,050056,http://www.avhospital.org
Anthony Medical Center,Anthony,KS,171346,http://amcks.org
Apollo Behavioral Health Hospital,Baton Rouge,LA,194105,http://www.apollo-bhh.com/about-us/
Appalachian Behavioral Healthcare,Athens,OH,364015,http://www.mh.state.oh.us
Appleton Area Health Services,Appleton,MN,241341,http://www.appletonareahealth.com
Appling Healthcare System,Baxley,GA,110071,http://www.appling-hospital.org
Arbour H. R. I. Hospital,Brookline,MA,224018,http://www.arbourhealth.com
Arbour Hospital,Boston,MA,224013,http://www.arbourhealth.com
Arbour-Fuller Hospital,Attleboro,MA,224021,http://www.arbourhealth.com
Arbuckle Memorial Hospital,Sulphur,OK,371328,http://www.arbucklehospital.com/
Aria - Jefferson Health,Philadelphia,PA,390115,http://www.ariahealth.org
Arise Austin Medical Center,Austin,TX,450871,http://www.austinsurgicalhospital.com
Arizona Orthopedic Surgical Hospital,Chandler,AZ,030112,http://www.azosh.com
Arizona Spine and Joint Hospital,Mesa,AZ,030107,http://www.azspineandjoint.com
Arizona State Hospital,Phoenix,AZ,034021,http://www.hs.state.az.us
Arkansas Children's Hospital,Little Rock,AR,043300,http://www.archildrens.org
Arkansas Heart Hospital,Little Rock,AR,040134,http://www.arheart.com
Arkansas Methodist Medical Center,Paragould,AR,040039,http://www.arkansasmethodist.org
Arkansas State Hospital,Little Rock,AR,044011,http://www.state.ar.us/dhs/dmhs
Arkansas Surgical Hospital,North Little Rock,AR,040147,http://www.ArkSurgicalHospital.com
Arkansas Valley Regional Medical Center,La Junta,CO,060036,http://www.avrmc.org
Arms Acres,Carmel,NY,,http://www.armsacres.com
Arnot Ogden Medical Center,Elmira,NY,330090,http://www.arnothealth.org
Aroostook Medical Center,Presque Isle,ME,200018,http://www.tamc.org
Arrowhead Behavioral Health Hospital,Maumee,OH,364036,http://www.arrowheadbehavioral.com
Arrowhead Regional Medical Center,Colton,CA,050245,http://www.arrowheadmedcenter.org
Artesia General Hospital,Artesia,NM,320030,http://www.artesiageneral.com
Asante Ashland Community Hospital,Ashland,OR,380005,http://www.ashlandhospital.org
Asante Rogue Regional Medical Center,Medford,OR,380018,http://www.asante.org
Asante Three Rivers Medical Center,Grants Pass,OR,380002,http://www.asante.org/trmc/
Ashe Memorial Hospital,Jefferson,NC,341325,http://www.ashememorial.org
Asheville Specialty Hospital,Asheville,NC,342017,http://www.missionhospitals.org/acute-care
Ashford Presbyterian Community Hospital,San Juan,PR,400001,http://www.presbypr.com
Ashland Health Center,Ashland,KS,171304,http://www.ashlandhc.org
Ashley County Medical Center,Crossett,AR,041323,http://www.acmconline.org
Ashley Medical Center,Ashley,ND,351322,http://www.amctoday.org
Ashley Regional Medical Center,Vernal,UT,460030,http://www.ashleyregional.com
Ashtabula County Medical Center,Ashtabula,OH,360125,http://www.acmchealth.org
Aspen Mountain Medical Center,Rock Springs,WY,550035,http://aspenmountainmc.com
Aspen Valley Hospital District,Aspen,CO,061324,http://www.avhaspen.org
Aspire Health Partners,Orlando,FL,104067,http://www.lakesidecares.org
Aspire Hospital,Conroe,TX,454112,http://www.aspirehospital.com
"Aspirus Iron River Hospitals & Clinics, Inc.",Iron River,MI,231318,http://www.aspirus.org
"Aspirus Ironwood Hosital & Clinics, Inc.",Ironwood,MI,231333,http://www.aspirus.org
"Aspirus Keweenaw Hospital, Inc.",Laurium,MI,231319,http://www.aspirus.org
Aspirus Langlade Hospital,Antigo,WI,521350,http://www.aspirus.org
"Aspirus Medford Hospital & Clinics, Inc.",Medford,WI,521324,http://www.aspirus.org
"Aspirus Ontonagon Hospital, Inc.",Ontonagon,MI,231309,http://www.aspirus.org
"Aspirus Riverview Hospital and Clinics, Inc.",Wisconsin Rapids,WI,520033,http://www.aspirus.org
"Aspirus Wausau Hospital, Inc.",Wausau,WI,520030,http://www.aspirus.org
Assumption Community Hospital,Napoleonville,LA,191303,https://ololrmc.com
Atascadero State Hospital,Atascadero,CA,,http://www.dmh.ca.gov/statehospitals/atascadero
Atchison Hospital,Atchison,KS,171382,http://www.atchisonhospital.org
Athens-Limestone Hospital,Athens,AL,010079,http://www.athenslimestonehospital.com
Athol Memorial Hospital,Athol,MA,221303,http://www.atholhospital.org
Atlanta Veterans Affairs Medical Center,Decatur,GA,,http://www.atlanta.va.gov/
Atlantic General Hospital,Berlin,MD,210061,http://www.atlanticgeneral.org
Atlantic Shores Hospital,Fort Lauderdale,FL,104065,http://www.atlanticshoreshospital.com
AtlantiCare Regional Medical Center,Atlantic City,NJ,310064,http://www.atlanticare.org
Atmore Community Hospital,Atmore,AL,010169,http://www.ebaptisthealthcare.org/AtmoreCommunityHospital/
Atoka County Medical Center,Atoka,OK,371300,http://www.atokamedicalcenter.org
Atrium Medical Center,Middletown,OH,360076,www.PremierHealth.com
Atrium Medical Center,Stafford,TX,452114,http://www.atriummedicalcenter.com
Atrium Medical Center of Corinth,Corinth,TX,452111,http://www.atriumhealthcare.net
Auburn Community Hospital,Auburn,NY,330235,http://www.auburnhospital.org
Audubon County Memorial Hospital,Audubon,IA,161330,http://www.acmhhosp.org
Augusta Health,Fishersville,VA,490018,http://www.augustahealth.com
Augusta University Medical Center,Augusta,GA,110034,http://www.grhealth.org
Aultman Hospital,Canton,OH,360084,http://www.aultman.com
Aultman Orrville Hospital,Orrville,OH,361323,http://www.aultmanorrville.org
Aultman Specialty Hospital,Canton,OH,362032,http://www.aultman.org
Aurelia Osborn Fox Memorial Hospital,Oneonta,NY,330085,http://www.bassett.org/ao-fox-hospital/
Aurora BayCare Medical Center,Green Bay,WI,520193,http://www.aurorabaycare.com
Aurora Behavioral Health System East,Tempe,AZ,034028,http://www.auroraarizona.com
Aurora Behavioral Health System West,Glendale,AZ,034024,http://www.aurorabehavioral.com
Aurora Behavioral Healthcare San Diego,San Diego,CA,054095,http://www.sandiego.aurorabehavioral.com/
