"Hospital Name","City","State","Medicare #","Website"
"Abbeville Area Medical Center Abbeville SC","Abbeville","SC","421301","http://www.abbevilleareamc.com"
"Abbeville General Hospital Abbeville LA","Abbeville","LA","190034","http://www.abbgen.net"
"Abbott Northwestern Hospital Minneapolis MN","Minneapolis","MN","240057","http://www.abbottnorthwestern.com"
"Abilene Regional Medical Center Abilene TX","Abilene","TX","450558","http://www.abileneregional.com"
"Abington Hospital Abington PA","Abington","PA","390231","http://www.abingtonhealth.org"
"Abington-Lansdale Hospital Jefferson Health Lansdale PA","Lansdale","PA","390012","http://www.abingtonhealth.org/find-a-location/abington-lansdale-hospital/#.V5dyVVL9yk4"
"Abraham Lincoln Memorial Hospital Lincoln IL","Lincoln","IL","141322","http://www.almh.org"
"Abrazo Arrowhead Campus Glendale AZ","Glendale","AZ","030094","http://www.arrowheadhospital.com"
"Abrazo Central Campus Phoenix AZ","Phoenix","AZ","030030","http://www.abrazohealth.com"
"Abrazo Maryvale Campus Phoenix AZ","Phoenix","AZ","030001","http://www.maryvalehospital.com"
"Abrazo Scottsdale Campus Phoenix AZ","Phoenix","AZ","030083","http://www.abrazoscottsdale.com"
"Abrazo West Campus Goodyear AZ","Goodyear","AZ","030110","http://www.wvhospital.com"
"Abrom Kaplan Memorial Hospital Kaplan LA","Kaplan","LA","191322","http://www.lafayettegeneral.com"
"Acadia General Hospital Crowley LA","Crowley","LA","190044","http://www.acadiageneral.com"
"Acadia Hospital Bangor ME","Bangor","ME","204006","http://www.acadiahospital.org"
"Acadia Optima Hospital Lafayette LA","Lafayette","LA","194078","http://optimaspecialtyhospital.com/"
"Acadia Vermilion Hospital Lafayette LA","Lafayette","LA","194044","http://www.acadiavermilion.com"
"Acadia-St. Landry Hospital Church Point LA","Church Point","LA","191319","http://www.aslh.org"
"Accel Rehabilitation Hospital of Plano Plano TX","Plano","TX","673055","http://accelrehab.com"
"Access Hospital Dayton Dayton OH","Dayton","OH","364050","http://www.accesshospital.com/"
"ACMH Hospital Kittanning PA","Kittanning","PA","390163","http://www.acmh.org"
"Acoma-Canoncito-Laguna Hospital Acoma NM","Acoma","NM","320070","http://www.ihs.gov/albuquerque/index.cfm?module=dsp_abq_acoma_canoncito_laguna"
"Acuity Hospital of South Texas San Antonio TX","San Antonio","TX","452040","http://www.acuitysouthtexas.com"
"Acuity Specialty Hospital of New Jersey Atlantic City NJ","Atlantic City","NJ","312023","http://www.acuityhealthcare.net"
"Acuity Specialty Hospital of Southern New Jersey Willingboro NJ","Willingboro","NJ","312022","http://lourdes.acuityhealthcare.net/"
"Adair County Health System Greenfield IA","Greenfield","IA","161310","http://www.adaircountyhealthsystem.org"
"Adams County Regional Medical Center Seaman OH","Seaman","OH","361326","http://www.acrmc.com"
"Adams Memorial Hospital Decatur IN","Decatur","IN","151330","http://www.adamshospital.com"
"Adcare Hospital of Worcester Worcester MA","Worcester","MA","220062","http://www.adcare.com"
"Adena Greenfield Medical Center Greenfield OH","Greenfield","OH","361304","http://www.adena.org"
"Adena Pike Medical Center Waverly OH","Waverly","OH","361334","http://www.pikecommunityhospital.org"
"Adirondack Health Saranac Lake NY","Saranac Lake","NY","330079","http://www.adirondackhealth.org"
"Advanced Care Hospital of Montana Billings MT","Billings","MT","272001","http://www.achm.ernesthealth.com"
"Advanced Care Hospital of Southern New Mexico Las Cruces NM","Las Cruces","NM","322004","http://www.achsnm.ernesthealth.com"
