"Hospital Name","City","State","Medicare #","Website","name"
"Abbeville Area Medical Center","Abbeville","SC","421301","http://www.abbevilleareamc.com","Abbeville Area Medical Center Abbeville SC"
"Abbeville General Hospital","Abbeville","LA","190034","http://www.abbgen.net","Abbeville General Hospital Abbeville LA"
"Abbott Northwestern Hospital","Minneapolis","MN","240057","http://www.abbottnorthwestern.com","Abbott Northwestern Hospital Minneapolis MN"
"Abilene Regional Medical Center","Abilene","TX","450558","http://www.abileneregional.com","Abilene Regional Medical Center Abilene TX"
"Abington Hospital","Abington","PA","390231","http://www.abingtonhealth.org","Abington Hospital Abington PA"
"Abington-Lansdale Hospital Jefferson Health","Lansdale","PA","390012","http://www.abingtonhealth.org/find-a-location/abington-lansdale-hospital/#.V5dyVVL9yk4","Abington-Lansdale Hospital Jefferson Health Lansdale PA"
"Abraham Lincoln Memorial Hospital","Lincoln","IL","141322","http://www.almh.org","Abraham Lincoln Memorial Hospital Lincoln IL"
"Abrazo Arrowhead Campus","Glendale","AZ","030094","http://www.arrowheadhospital.com","Abrazo Arrowhead Campus Glendale AZ"
"Abrazo Central Campus","Phoenix","AZ","030030","http://www.abrazohealth.com","Abrazo Central Campus Phoenix AZ"
"Abrazo Maryvale Campus","Phoenix","AZ","030001","http://www.maryvalehospital.com","Abrazo Maryvale Campus Phoenix AZ"
"Abrazo Scottsdale Campus","Phoenix","AZ","030083","http://www.abrazoscottsdale.com","Abrazo Scottsdale Campus Phoenix AZ"
"Abrazo West Campus","Goodyear","AZ","030110","http://www.wvhospital.com","Abrazo West Campus Goodyear AZ"
"Abrom Kaplan Memorial Hospital","Kaplan","LA","191322","http://www.lafayettegeneral.com","Abrom Kaplan Memorial Hospital Kaplan LA"
"Acadia General Hospital","Crowley","LA","190044","http://www.acadiageneral.com","Acadia General Hospital Crowley LA"
"Acadia Hospital","Bangor","ME","204006","http://www.acadiahospital.org","Acadia Hospital Bangor ME"
"Acadia Optima Hospital","Lafayette","LA","194078","http://optimaspecialtyhospital.com/","Acadia Optima Hospital Lafayette LA"
