hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/career-opportunities/Patient-Access-Clerk,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/PageDisplay.asp?p1=14299&PF=Y,200,0,0,0,0,6,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/resources/Visitation-Hours,200,0,0,0,0,7,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/2015-Equipment-Acquisitions--Plant-Improvements,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/PageDisplay.asp?p1=16558&PF=Y,200,0,0,0,0,18,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Abbeville-General-Cerner-Partnership-for-new-Health-Information-System,200,0,0,0,0,3,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/a-hrefPageDisplayaspp114335AGH-Offsite-Imaginga,200,0,0,0,0,2,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/Infusion-Therapy-Center,200,0,0,0,0,10,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081?Sort=name&Order1=,200,0,0,0,0,44,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/resources/Financial-Assistance-Program,200,0,0,0,0,18,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/career-opportunities/RadCT-Tech,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/resources/Patient-Information,200,0,0,0,0,1,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/Emergency-Department,200,0,0,0,0,1,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/Cancer-Center-of-Acadiana-at-Abbeville-General,200,0,0,0,0,9,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Congestive-Heart-Failure-Clinic-now-open-in-Erath,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/career-opportunities?Sort=location&Order2=,200,0,0,0,0,9,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Primary-Care-Medical-Home-Certification,200,0,0,0,0,1,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/PageDisplay.asp?p1=16558,200,0,0,0,0,18,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/PageDisplay.asp?p1=14299,200,0,0,0,0,6,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Medical-Scholarships-Awarded-by-Abbeville-General,200,0,0,0,0,4,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/resources/Hospital-Quality-and-Patient-Safety,200,0,0,0,0,8,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/AnesthesiaServices,200,0,0,0,0,8,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/locations-and-contacts,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Pediatric-Dental-Program-now-at-Abbeville-General,200,0,0,0,0,1,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/a-hrefhttpblog008magazinecomnovember2015printissuehtmlp46TeleStroke-Robot-Helps-Save-Life-of-Local-Rural-Patienta,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/patient-portal,200,0,0,0,0,7,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/about-agh,200,0,0,0,0,10,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/career-opportunities?Sort=position&Order3=,200,0,0,0,0,9,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net,200,0,0,0,0,7,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/DiabetesNutrition-Outpatient-Services,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Abbeville-General-designated-a-Level-Two-WellSpot-by-DHH,200,0,0,0,0,22,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/a-hrefservicesEmergency-DepartmentER-Renovation-Project-Completeda,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/Cardiopulmonary-Respiratory-Services,200,0,0,0,0,1,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/SiteMap/Search.asp,200,0,0,0,0,1,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/Social-Services,200,0,0,0,0,1,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/career-opportunities/Anesthesia-Billing-Specialist,200,0,0,0,0,1,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/Telemedicine,200,0,0,0,0,2,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/Default.asp,200,0,0,0,0,7,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/2016-Employees-of-the-Quarter-named,200,0,0,0,0,3,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Restructuring-of-Management,200,0,0,0,0,11,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/BehavioralMedicineCenter,200,0,0,0,0,6,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services,200,0,0,0,0,23,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/resources,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/resources/FAQs,200,0,0,0,0,2,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/MedicalSurgical-Inpatient-Care,200,0,0,0,0,2,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/ErathDelcambre-Community-Care-Clinic-now-open-7-5-Monday-Friday,200,0,0,0,0,3,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Abbeville-General-Report-to-Rotary-Club-2,200,0,0,0,0,17,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Abbeville-General-Earns-ACR-Accreditation-for-Mammography-1,200,0,0,0,0,9,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/ErathDelcambre-Community-Care-Clinic-has-Ribbon-Cutting-and-Open-House,200,0,0,0,0,2,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/SiteMap/SiteMap.asp,200,0,0,0,0,1,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/services/Intensive-Care-Unit,200,0,0,0,0,10,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/career-opportunities/MedSurg-CNA,200,0,0,0,0,0,,,,
Abbeville General Hospital,http://www.abbgen.net,http://www.abbgen.net/news-and-events-14081/Third-Floor-MedicalSurgical-Unit,200,0,0,0,0,3,,,,
