hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Services/Virginia-Piper-Cancer-Institute/,200,0,0,0,0,20,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Foundation/Giving-stories/A-new-era-for-neuroscience-care/,200,0,0,0,0,23,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Services/Virginia-Piper-Cancer-Institute/Programs-and-services/Piper-Breast-Center/Services/,200,0,0,0,0,7,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Services/Surgical-services/Laser-services/,200,0,0,0,0,12,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Foundation/Giving-stories/A-hospital-love-story/,200,0,0,0,0,26,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Foundation/Giving-stories/a-cardiac-wake-up-call/,200,0,0,0,0,16,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Services/Surgical-services/Day-of-surgery/,200,0,0,0,0,34,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Services/Surgical-services/Laser-services/Photodynamic-therapy-PDT/,200,0,0,0,0,14,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Services/Mental-health-services/,200,0,0,0,0,5,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Foundation/Giving-stories/Retired-nurse-helps-other-nurses-achieve-their-career-goals/,200,0,0,0,0,13,,,,
Abbott Northwestern Hospital,http://www.abbottnorthwestern.com,https://www.allinahealth.org/Abbott-Northwestern-Hospital/Services/Virginia-Piper-Cancer-Institute/Programs-and-services/Piper-Breast-Center/Piper-Breast-Center-tour/,200,0,0,0,0,9,,,,
