hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/mediaandvendors.aspx,200,0,0,0,0,1,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/Abilene-Regional-Medical-Center/home.aspx,200,0,0,0,0,6,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/patientsandcaregivers.aspx,200,0,0,0,0,5,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/orthopedicservices.aspx,200,0,0,0,0,6,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/pricing-transparency-policy.aspx,200,0,0,0,0,20,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/insuranceacceptedplans.aspx,200,0,0,0,0,2,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/myhealthhomepatientportal.aspx,200,0,0,0,0,10,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/billingandinsurance.aspx,200,0,0,0,0,4,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/healthywoman.aspx,200,0,0,0,0,3,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/spiritual-services.aspx,200,0,0,0,0,5,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/Abilene-Regional-Medical-Center/press1/Quick-Launch-Icon-9174.aspx,200,0,0,0,0,12,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/woundcare.aspx,200,0,0,0,0,4,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/returninghome.aspx,200,0,0,0,0,8,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/privacypolicy.aspx,200,0,0,0,0,57,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/your-stay.aspx,200,0,0,0,0,1,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/medicalprofessionals.aspx,200,0,0,0,0,1,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/diagnosticimaging.aspx,200,0,0,0,0,13,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/Abilene-Regional-Medical-Center/Home.aspx,200,0,0,0,0,6,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/local-accommodations.aspx,200,0,0,0,0,1,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/call-us.aspx,200,0,0,0,0,1,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/Abilene-Regional-Medical-Center/privacypolicystandard.aspx,200,0,0,0,0,57,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/veincenter.aspx,200,0,0,0,0,3,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/roboticsurgerylanding.aspx,200,0,0,0,0,11,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/marketingandprcontact.aspx,200,0,0,0,0,1,,,,
Abilene Regional Medical Center,http://www.abileneregional.com,http://www.abileneregional.com/abilene-regional-medical-center/qualityandsafety.aspx,200,0,0,0,0,5,,,,
