hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/About/Press-Releases/p/992/v/2000/pourchot-named-april-almh-employee-of-the-month.aspx,200,0,0,0,0,16,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/About/Press-Releases/p/1007/v/2000/monkman-named-may-almh-employee-of-the-month.aspx,200,0,0,0,0,8,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/About/Awards-and-Achievements,200,0,0,0,0,19,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/Patients-and-Visitors/After-Your-Stay/Patient-Portal,200,0,0,0,0,0,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/About/Press-Releases/p/995/v/2000/memorial-health-system-ceo-ed-curtis-to-receive-honorary-doctorate-during-uis-commencement.aspx,200,0,0,0,0,10,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/About/Press-Releases/p/1011/v/2000/sleep-disorder-center-at-abraham-lincoln-memorial-hospital-in-lincoln-receives-program-accreditation.aspx,200,0,0,0,0,14,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/patient-stories,200,0,0,0,0,10,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/Services/Inpatient-Care,200,0,0,0,0,1,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/Services/Rehab-Physical-Therapy,200,0,0,0,0,10,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/About/Press-Releases/p/1009/v/2000/abraham-lincoln-memorial-hospital-foundation-names-scholarship-recipient.aspx,200,0,0,0,0,23,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/patient-stories/story/id/1040,200,0,0,0,0,15,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/financial/financial-assistance-and-charity-care,200,0,0,0,0,10,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/Services/Diagnostic-Imaging,200,0,0,0,0,1,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/tel:2177322161,400,0,0,0,0,9,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/,200,0,0,0,0,14,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/Financial/Online-Bill-Pay,200,0,0,0,0,8,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/About/Calendar,200,0,0,0,0,10,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/Services/Surgery,200,0,0,0,0,29,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/patient-stories/story/id/1037,200,0,0,0,0,15,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/Services/Emergency-Services,200,0,0,0,0,11,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/patient-stories/story/id/1039,200,0,0,0,0,26,,,,
Abraham Lincoln Memorial Hospital,http://www.almh.org,http://www.almh.org/patient-stories/story/id/1038,200,0,0,0,0,23,,,,
