hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2017/05/13/four-abrazo-hospitals-earn-top-national-honors-for-stroke-care-treatment-from-american-stroke-association,200,0,0,0,0,34,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/emergency-senior-care,200,0,0,0,0,24,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2016/08/25/abrazo-maryvale-campus-employees-donate-6-000-bottles-of-water-to-help-the-homeless,200,0,0,0,0,26,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2016/08/01/abrazo-community-health-network-s-dawna-cato-appointed-to-leadership-roles-for-national-and-state-nursing-groups,200,0,0,0,0,28,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2016/07/15/abrazo-maryvale-campus-abrazo-medical-group-help-homeless-shelter-phoenix-firefighters-collect-water-bottle-donations-throughout-july,200,0,0,0,0,31,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2017/06/14/abrazo-community-health-network-cereal-drive-nets-41-000-servings-for-hungry-children-this-summer,200,0,0,0,0,28,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/ceo-welcome,200,0,0,0,0,17,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/find-a-physician,200,0,0,0,0,21,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2017/03/07/abrazo-community-health-network-presents-free-health-screenings-at-phoenix-heart-walk-on-march-18,200,0,0,0,0,29,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/awards-distinctions,200,0,0,0,0,20,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/page/2,200,0,0,0,0,42,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2016/10/14/abrazo-maryvale-campus-presents-free-healthy-living-community-event,200,0,0,0,0,23,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/page/4,200,0,0,0,0,25,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-services-specialties,200,0,0,0,0,24,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2017/06/27/abrazo-maryvale-campus-donates-8-800-bottles-of-water,200,0,0,0,0,24,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2017/04/25/abrazo-hospitals-offer-free-stroke-risk-assessments-in-may,200,0,0,0,0,40,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news,200,0,0,0,0,31,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2017/06/20/abrazo-community-health-network-provides-safety-tips-for-july-4th-celebrations,200,0,0,0,0,27,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/classes-events,200,0,0,0,0,11,,,,
Abrazo Maryvale Campus,http://www.maryvalehospital.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2016/10/06/six-abrazo-hospitals-offer-free-meals-for-veterans-on-veterans-day,200,0,0,0,0,21,,,,
