hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-services/bariatric-wellness-institute/paying-for-your-surgery,200,0,0,0,0,17,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2017/05/13/four-abrazo-hospitals-earn-top-national-honors-for-stroke-care-treatment-from-american-stroke-association,200,0,0,0,0,34,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2017/05/30/nurse-honored-by-abrazo-scottsdale-campus-with-national-daisy-award,200,0,0,0,0,29,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-services-specialties,200,0,0,0,0,28,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news,200,0,0,0,0,38,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2017/05/31/humana-patients-in-network-access-restored-on-june-1-at-abrazo-community-health-network,200,0,0,0,0,22,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/awards-distinctions,200,0,0,0,0,22,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-services-specialties/surgical-weightloss,200,0,0,0,0,22,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-services/bariatric-wellness-institute/resource-center,200,0,0,0,0,23,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-services/bariatric-wellness-institute/frequently-asked-questions,200,0,0,0,0,18,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/classes-events,200,0,0,0,0,13,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus,200,0,0,0,0,17,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/ceo-welcome,200,0,0,0,0,21,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2016/12/09/nurse-honored-by-abrazo-scottsdale-campus-with-national-daisy-award,200,0,0,0,0,29,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-services/bariatric-wellness-institute/why-weight-loss-surgery,200,0,0,0,0,23,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/patient-rights,200,0,0,0,0,19,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-services/find-a-physician/abrazo-scottsdale-campus,200,0,0,0,0,21,,,,
Abrazo Scottsdale Campus,http://www.abrazoscottsdale.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2017/01/09/blood-drive-jan.-24-at-abrazo-scottsdale-campus,200,0,0,0,0,23,,,,
