hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/06/14/abrazo-community-health-network-cereal-drive-nets-41-000-servings-for-hungry-children-this-summer,200,0,0,0,0,28,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-services/find-a-physician/abrazo-west-campus,200,0,0,0,0,21,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/04/12/abrazo-west-campus-earns-highest-national-grade-in-patient-safety,200,0,0,0,0,23,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/02/23/frank-molinaro-named-market-ceo-of-abrazo-community-health-network,200,0,0,0,0,28,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/04/12/abrazo-community-health-network-employees-raise-$71-000-for-american-heart-association-2017-phoenix-heart-walk,200,0,0,0,0,32,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/04/25/abrazo-hospitals-offer-free-stroke-risk-assessments-in-may,200,0,0,0,0,40,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/find-a-physician,200,0,0,0,0,21,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/06/05/abrazo-community-health-network-s-six-hospitals-are-hosting-job-fairs-on-june-14,200,0,0,0,0,20,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2016/11/22/abrazo-west-campus-presents-free-back-pain-seminar-dec.-13,200,0,0,0,0,24,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2016/12/06/abrazo-west-campus-hosts-food-drive-for-agua-fria-food-bank,200,0,0,0,0,22,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/06/27/abrazo-maryvale-campus-donates-8-800-bottles-of-water,200,0,0,0,0,24,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-services-specialties,200,0,0,0,0,28,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/05/10/abrazo-west-campus-ceo-stan-holm-named-outstanding-healthcare-executive-by-az-business-magazine,200,0,0,0,0,29,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/03/07/abrazo-community-health-network-presents-free-health-screenings-at-phoenix-heart-walk-on-march-18,200,0,0,0,0,29,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/page/5,200,0,0,0,0,35,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/page/4,200,0,0,0,0,36,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/page/3,200,0,0,0,0,38,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/page/2,200,0,0,0,0,38,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/06/21/abrazo-west-campus-and-abrazo-buckeye-emergency-center-collect-55-000-bottles-of-water-for-homeless,200,0,0,0,0,35,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/05/31/humana-patients-in-network-access-restored-on-june-1-at-abrazo-community-health-network,200,0,0,0,0,22,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/ceo-welcome,200,0,0,0,0,25,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news/detail/2017/06/22/american-heart-association-honors-abrazo-west-campus-for-raising-nearly-$17-000-for-2017-phoenix-heart-walk,200,0,0,0,0,29,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/our-news,200,0,0,0,0,36,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/awards-distinctions,200,0,0,0,0,24,,,,
Abrazo West Campus,http://www.wvhospital.com,https://www.abrazohealth.com/our-locations/abrazo-west-campus/classes-events,200,0,0,0,0,15,,,,
