hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/time-outs/,200,0,0,0,0,26,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/poisoning-prevention/,200,0,0,0,0,83,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/nosebleeds/,200,0,0,0,0,65,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/burns/,200,0,0,0,0,71,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/bad-behavior/,200,0,0,0,0,10,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/services/orthopedics.aspx,200,0,0,0,0,37,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/kitchen-safety/,200,0,0,0,0,27,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/atv-safety/,200,0,0,0,0,96,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/news_events/parenting_blog.aspx,200,0,0,0,0,252,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/2017/05/19/drama-in-real-life/,200,0,0,0,0,22,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/disaster-readiness/,200,0,0,0,0,15,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/cold-medicines/,200,0,0,0,0,16,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/our_facilities/main_facilities/lafayette_general_southwest.aspx,200,0,0,0,0,4,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lgec.net/surveys,200,0,0,0,0,0,,,,
